year,race_number,race_name,race_date,track,track_type,track_miles,total_laps,caution_flags,caution_laps,lead_changes,avg_speed_mph,pole_speed_mph,margin_of_victory,attendance,finish_pos,start_pos,car_number,driver,sponsor,owner,car_make,laps_completed,status,laps_led,points,loop_avg_speed,loop_green_flag_passes,loop_quality_passes,loop_fastest_lap,loop_driver_rating
2025,1,2025 Daytona 500,"Sunday, February 16, 2025",Daytona International Speedway,,,,8,47,56,129.159,182.745,.113 sec,n/a,1,5,24,William Byron,Axalta,Rick Hendrick,Chevrolet,201,running,10,50,,,,,
2025,1,2025 Daytona 500,"Sunday, February 16, 2025",Daytona International Speedway,,,,8,47,56,129.159,182.745,.113 sec,n/a,2,11,45,Tyler Reddick,Nasty Beast,23XI Racing,Toyota,201,running,0,44,,,,,
2025,1,2025 Daytona 500,"Sunday, February 16, 2025",Daytona International Speedway,,,,8,47,56,129.159,182.745,.113 sec,n/a,3,40,84,Jimmie Johnson,Carvana,Legacy Motor Club,Toyota,201,running,0,34,,,,,
2025,1,2025 Daytona 500,"Sunday, February 16, 2025",Daytona International Speedway,,,,8,47,56,129.159,182.745,.113 sec,n/a,4,1,19,Chase Briscoe,Bass Pro Shops,Joe Gibbs,Toyota,201,running,4,33,,,,,
2025,1,2025 Daytona 500,"Sunday, February 16, 2025",Daytona International Speedway,,,,8,47,56,129.159,182.745,.113 sec,n/a,5,18,42,John H. Nemechek,Dollar Tree,Legacy Motor Club,Toyota,201,running,0,34,,,,,
2025,1,2025 Daytona 500,"Sunday, February 16, 2025",Daytona International Speedway,,,,8,47,56,129.159,182.745,.113 sec,n/a,6,38,48,Alex Bowman,Ally,Rick Hendrick,Chevrolet,201,running,11,42,,,,,
2025,1,2025 Daytona 500,"Sunday, February 16, 2025",Daytona International Speedway,,,,8,47,56,129.159,182.745,.113 sec,n/a,7,16,12,Ryan Blaney,MenardsPEAK,Roger Penske,Ford,201,running,23,51,,,,,
2025,1,2025 Daytona 500,"Sunday, February 16, 2025",Daytona International Speedway,,,,8,47,56,129.159,182.745,.113 sec,n/a,8,2,2,Austin Cindric,Discount Tire,Roger Penske,Ford,201,running,59,48,,,,,
2025,1,2025 Daytona 500,"Sunday, February 16, 2025",Daytona International Speedway,,,,8,47,56,129.159,182.745,.113 sec,n/a,9,19,40,Justin Allgaier,Traveller Whiskey,JR Motorsports,Chevrolet,201,running,0,0,,,,,
2025,1,2025 Daytona 500,"Sunday, February 16, 2025",Daytona International Speedway,,,,8,47,56,129.159,182.745,.113 sec,n/a,10,6,17,Chris Buescher,Fastenal,Jack Roush,Ford,201,running,0,40,,,,,
